City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
54,san quintin,MX,2022-06-08 03:29:59,30.4833,-115.95,62.29,84,14,8.68,few clouds,0.0,0
55,chokurdakh,RU,2022-06-08 03:30:00,70.6333,147.9167,49.51,42,6,14.0,clear sky,0.0,0
56,kurilsk,RU,2022-06-08 03:30:00,45.2333,147.8833,44.76,80,96,6.06,overcast clouds,0.0,0
57,hilo,US,2022-06-08 03:29:37,19.7297,-155.09,89.28,76,100,9.22,overcast clouds,0.0,0
58,mwandiga,TZ,2022-06-08 03:30:01,-4.83,29.6581,67.46,76,81,4.7,light rain,0.0,0
59,taoudenni,ML,2022-06-08 03:30:02,22.6783,-3.9836,91.24,22,1,6.62,clear sky,0.0,0
60,ahuimanu,US,2022-06-08 03:30:02,21.4447,-157.8378,83.91,65,40,14.97,scattered clouds,0.0,0
61,atuona,PF,2022-06-08 03:30:03,-9.8,-139.0333,78.06,73,13,16.08,few clouds,0.0,0
62,la ronge,CA,2022-06-08 03:30:04,55.1001,-105.2842,66.45,32,75,4.61,broken clouds,0.0,0
63,bonavista,CA,2022-06-08 03:30:04,48.6499,-53.1147,38.08,79,9,22.39,clear sky,0.0,0
64,pevek,RU,2022-06-08 03:30:05,69.7008,170.3133,38.97,75,25,6.42,scattered clouds,0.0,0
65,yellowknife,CA,2022-06-08 03:30:05,62.456,-114.3525,72.12,28,20,4.61,few clouds,0.0,0
66,la libertad,EC,2022-06-08 03:30:06,-2.2333,-80.9,69.08,87,100,8.48,overcast clouds,0.0,0
67,carlsbad,US,2022-06-08 03:29:06,33.1581,-117.3506,69.89,86,100,4.61,overcast clouds,0.0,0
68,rosetta,EG,2022-06-08 03:30:06,31.4044,30.4164,74.05,71,0,3.09,clear sky,0.0,0
69,arrifes,PT,2022-06-08 03:30:07,37.7667,-25.7,67.23,94,75,9.22,broken clouds,0.0,0
70,igarapava,BR,2022-06-08 03:30:08,-20.0383,-47.7469,70.72,62,14,4.25,few clouds,0.0,0
71,watertown,US,2022-06-08 03:28:32,42.3709,-71.1828,69.82,68,100,13.8,overcast clouds,0.0,0
72,aklavik,CA,2022-06-08 03:30:14,68.2191,-135.0107,39.78,79,100,14.5,overcast clouds,0.0,0
73,kaitangata,NZ,2022-06-08 03:30:15,-46.2817,169.8464,50.38,77,100,2.19,light rain,0.0,0
74,saskylakh,RU,2022-06-08 03:30:15,71.9167,114.0833,56.86,40,3,14.07,clear sky,0.0,0
75,te anau,NZ,2022-06-08 03:30:17,-45.4167,167.7167,45.55,94,95,3.44,light rain,0.0,0
76,charlestown,AU,2022-06-08 03:30:19,-32.95,151.6667,62.11,49,5,7.0,clear sky,0.0,0
77,labytnangi,RU,2022-06-08 03:30:20,66.6572,66.4183,67.95,32,25,8.61,scattered clouds,0.0,0
78,lebu,CL,2022-06-08 03:30:21,-37.6167,-73.65,50.88,89,21,2.95,few clouds,0.0,0
79,saint george,US,2022-06-08 03:25:48,37.1041,-113.5841,95.59,15,0,9.22,clear sky,0.0,0
80,isangel,VU,2022-06-08 03:30:23,-19.55,169.2667,84.31,74,40,4.61,scattered clouds,0.0,0
81,grand gaube,MU,2022-06-08 03:30:23,-20.0064,57.6608,71.38,77,19,1.99,few clouds,0.0,0
82,khatanga,RU,2022-06-08 03:30:24,71.9667,102.5,58.78,50,51,22.3,broken clouds,0.0,0
83,hasaki,JP,2022-06-08 03:30:24,35.7333,140.8333,64.29,86,100,14.29,overcast clouds,0.0,0
84,chase,CA,2022-06-08 03:30:26,50.8165,-119.6857,70.32,65,91,3.27,overcast clouds,0.0,0
85,dikson,RU,2022-06-08 03:30:28,73.5069,80.5464,29.7,86,8,1.77,clear sky,0.0,0
86,vardo,NO,2022-06-08 03:30:29,70.3705,31.1107,42.78,87,100,9.22,overcast clouds,0.0,0
87,butaritari,KI,2022-06-08 03:30:29,3.0707,172.7902,81.81,75,28,11.07,light rain,0.0,0
88,bredasdorp,ZA,2022-06-08 03:30:30,-34.5322,20.0403,60.96,36,9,6.53,clear sky,0.0,0
89,severo-kurilsk,RU,2022-06-08 03:30:30,50.6789,156.125,45.46,75,83,11.99,broken clouds,0.0,0
90,klaksvik,FO,2022-06-08 03:30:30,62.2266,-6.589,45.52,75,100,18.23,overcast clouds,0.0,0
91,tuktoyaktuk,CA,2022-06-08 03:30:31,69.4541,-133.0374,32.0,86,100,13.8,overcast clouds,0.0,0
92,ketchikan,US,2022-06-08 03:30:31,55.3422,-131.6461,63.07,55,0,6.91,clear sky,0.0,0
93,luwuk,ID,2022-06-08 03:30:32,-0.9516,122.7875,85.19,72,68,4.52,broken clouds,0.0,0
94,ahipara,NZ,2022-06-08 03:30:32,-35.1667,173.1667,61.05,79,100,6.98,overcast clouds,0.0,0
95,dauphin,CA,2022-06-08 03:30:32,51.1494,-100.0502,57.34,44,75,2.3,broken clouds,0.0,0
96,albany,US,2022-06-08 03:26:52,42.6001,-73.9662,64.81,86,100,3.0,overcast clouds,0.0,0
97,barrow,US,2022-06-08 03:27:40,71.2906,-156.7887,28.42,80,100,17.27,overcast clouds,0.0,0
98,hambantota,LK,2022-06-08 03:30:33,6.1241,81.1185,84.54,79,20,12.66,few clouds,0.0,0
99,airai,TL,2022-06-08 03:30:33,-8.9266,125.4092,73.26,57,79,4.81,broken clouds,0.0,0
100,kisangani,CD,2022-06-08 03:30:34,0.5167,25.2,69.12,79,95,2.42,overcast clouds,0.0,0
101,faya,SA,2022-06-08 03:30:34,18.3851,42.4509,64.51,13,82,5.28,broken clouds,0.0,0
102,santiago del estero,AR,2022-06-08 03:30:34,-27.7951,-64.2615,56.88,76,1,5.57,clear sky,0.0,0
103,beyneu,KZ,2022-06-08 03:30:35,45.3167,55.2,76.78,34,2,8.23,clear sky,0.0,0
104,faanui,PF,2022-06-08 03:30:35,-16.4833,-151.75,80.62,72,98,11.79,overcast clouds,0.0,0
105,batagay-alyta,RU,2022-06-08 03:30:36,67.8006,130.4114,72.79,17,100,2.19,overcast clouds,0.0,0
106,new norfolk,AU,2022-06-08 03:30:36,-42.7826,147.0587,51.3,77,99,5.01,overcast clouds,0.0,0
